department,clinical_event,performed_activity_evidence,required_documentation_elements,expected_facility_charge_opportunity,common_modifier_logic,separately_billable_flag,packaged_or_integral_flag,common_failure_mode,likely_queue_destination,why_it_may_not_be_billable
Outpatient Infusion / Oncology Infusion,Initial therapeutic infusion,MAR administration plus infusion start/stop evidence,"Drug, dose, route, start time, stop time",Primary therapeutic infusion administration charge,None,false,false,Missing stop time or unclear duration,Charge Reconciliation Monitor,Documented duration may not support an infusion-level charge
Outpatient Infusion / Oncology Infusion,Hydration infusion distinct from therapy,Hydration administration timestamps plus nursing support,"Reason for hydration, distinct hydration timing, start/stop time",Hydration administration charge,None,true,true,Hydration documented but not distinct from primary therapy,Documentation Support Exceptions,Hydration may be conditional or integral rather than separately billable
Outpatient Infusion / Oncology Infusion,Drug waste scenario,Pharmacy prep record plus documented discarded amount,"Drug identity, administered amount, discarded amount, waste support",Waste-related charge opportunity,Waste modifier when support requirements are met,true,false,Discarded amount not explicitly documented,Modifiers / Edits / Prebill Holds,Waste may be unsupported or below threshold for separate billing
Outpatient Infusion / Oncology Infusion,Timed infusion unit-conversion review,MAR administration plus governed infusion duration,"Drug, start time, stop time, administered duration",Timed infusion units derived from documented duration,Units review when timed duration crosses threshold,true,false,Documented infusion duration was not translated into governed expected units,Coding Pending Review,Documented duration may support fewer or more timed units than a default charge
Outpatient Infusion / Oncology Infusion,Separate access-site administration,Access-site administration note linked to same-day infusion,"Access site, timing, distinct support from primary infusion",Separate access-site administration add-on,None,true,true,Access-site activity documented but not sufficiently distinct from the primary infusion,Documentation Support Exceptions,Access-site activity may be integral to the primary infusion encounter
Radiology / Interventional Radiology,Completed diagnostic imaging study,Study completion status plus performed exam record,"Completed study status, performed exam code, service timestamp",Facility technical imaging charge,None,true,false,Order exists but study never reached completed status,Charge Reconciliation Monitor,Initiated or scheduled imaging alone does not create a valid charge opportunity
Radiology / Interventional Radiology,Incomplete or discontinued imaging study,Started exam workflow plus incomplete study note,"Incomplete or discontinued status, reason, partial performed evidence",No routine separate charge opportunity or reduced local charge,None,false,true,Incomplete study treated as a normal completed exam,Documentation Support Exceptions,The study may not meet technical completion criteria for billing
Radiology / Interventional Radiology,Laterality/site-dependent imaging study,Completed study record with site and laterality support,"Completed study status, site, laterality, service timestamp",Laterality/site-dependent technical imaging charge,None,true,false,Site or laterality support is missing for a billed technical study,Documentation Support Exceptions,The study may not support the billed technical line without site or laterality evidence
Radiology / Interventional Radiology,Distinct same-day imaging study,Same-day repeat study record with distinct support,"Distinct same-day study context, repeat exam support, service timestamp",Distinct same-day technical imaging charge,Distinct-study modifier or local repeat logic,true,false,Same-day repeat study lacks governed distinctness support,Coding Pending Review,Same-day repeat imaging may not support a separate technical line without distinctness evidence
Radiology / Interventional Radiology,Interventional device or contrast linkage,Procedure completion plus linked device or contrast evidence,"Completed case, linked device or contrast record, timing support",Device or contrast-related technical charge when local rules allow,None,true,true,Supply or contrast records are present but not linked,Documentation Support Exceptions,The item may be bundled into the primary technical service
OR / Hospital Outpatient Surgery / Procedural Areas,Completed outpatient procedure,Case completion status plus room and procedure log,"Completed case status, primary procedure support, start/stop timestamps",Primary facility procedure charge,Distinctness or reduced-service modifier where governed,true,false,Case complete but charge posting delayed during reconciliation,Charge Reconciliation Monitor,Final clean billing may still depend on completed documentation and final case state
OR / Hospital Outpatient Surgery / Procedural Areas,Discontinued procedure,Discontinued case state plus partial procedure note,"Discontinued status, reason, extent performed, operative support",Reduced partial charge or no charge depending on local rule,Reduced or discontinued modifier where governed,true,true,Discontinued case routed as full missed primary procedure,Modifiers / Edits / Prebill Holds,The discontinued case may not support the full expected charge
OR / Hospital Outpatient Surgery / Procedural Areas,Implant or supply capture,Implant log or supply usage linked to completed case,"Item identity, quantity, timing, case linkage",Implant or supply-related charge when separately captured,None,true,true,Clinical usage documented but not reconciled to charge workflow,Charge Reconciliation Monitor,The item may be integral to the procedural package rather than separately billable
OR / Hospital Outpatient Surgery / Procedural Areas,Timestamp-dependent procedural support,Case log or room log with timestamp-dependent support,"Case start, case stop, room or procedure timestamp support",Timestamp-dependent procedural facility charge,None,true,false,Case-log timestamps are missing or incomplete for the procedural charge,Documentation Support Exceptions,Case activity may not support the procedural charge without governed timestamp evidence
